Total Campers,Park Name,Total Visits,Total Tent Campers,Total RV Campers,Total Backcountry Campers
0,Valley Forge NHP,2259944,0,0,0
0,Vietnam Veterans MEM,4580587,0,0,0
0,Virgin Islands NP,133398,0,0,0
45262,Voyageurs NP,232974,0,0,45262
0,War in the Pacific NHP,432213,0,0,0
0,Washington Monument,108410,0,0,0
1195,Whiskeytown NRA,687159,682,513,0
0,White House,454117,0,0,0
4243,White Sands NP,608785,0,0,4243
0,Wilson's Creek NB,232838,0,0,0
7716,Wind Cave NP,615350,3632,3715,369
0,Wolf Trap NP for the Performing Arts,402580,0,0,0
0,Women's Rights NHP,39064,0,0,0
0,World War II Memorial,4831327,0,0,0
0,Wrangell-St. Elias NP & PRES,74518,0,0,0
199552,Yellowstone NP,4020288,81022,80294,38236
837111,Yosemite NP,4422861,469585,211948,155578
1898,Yukon-Charley Rivers NPRES,1114,0,0,1898
215314,Zion National Park,4488268,118290,78704,18320
