,Park_Name,Park_Code,state,Lat,Long,designation,activities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
229,Iñupiat Heritage Center,inup,AK,71.29832445,-156.7535863,,"['Arts and Culture', 'Hunting and Gathering']",Arts and Culture,Hunting and Gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,James A Garfield National Historic Site,jaga,OH,41.66486549,-81.35086557,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Reenactments', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Guided Tours,Self-Guided Tours - Walking,Living History,Reenactments,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Jean Lafitte National Historical Park and Preserve,jela,LA,29.81739855,-90.1402241,National Historical Park and Preserve,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Fishing', 'Freshwater Fishing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Arts and Crafts', 'Hunting and Gathering', 'Hunting', 'Living History', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Fishing,Freshwater Fishing,Guided Tours,Self-Guided Tours - Walking,Hands-On,Arts and Crafts,Hunting and Gathering,Hunting,Living History,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Jewel Cave National Monument,jeca,SD,43.73102945,-103.829994,National Monument,"['Caving', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Caving,Guided Tours,Hiking,Junior Ranger Program,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Jimmy Carter National Historical Park,jica,GA,32.03611,-84.3924,National Historical Park,"['Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Biking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,John Day Fossil Beds National Monument,joda,OR,44.62566508,-119.8811491,National Monument,"['Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Bookstore and Park Store']",Hiking,Front-Country Hiking,Junior Ranger Program,Park Film,Museum Exhibits,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,John Fitzgerald Kennedy National Historic Site,jofi,MA,42.34693694,-71.12323846,National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,John Muir National Historic Site,jomu,CA,37.9828422,-122.1326097,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Park Film', 'Museum Exhibits']",Guided Tours,Self-Guided Tours - Walking,Hiking,Junior Ranger Program,Wildlife Watching,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Johnstown Flood National Memorial,jofl,PA,40.34584534,-78.77448601,National Memorial,"['Food', 'Picnicking', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Food,Picnicking,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Backcountry Hiking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Joshua Tree National Park,jotr,CA,33.91418525,-115.8398125,National Park,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'Climbing', 'Rock Climbing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Climbing,Rock Climbing,Food,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Juan Bautista de Anza National Historic Trail,juba,"AZ,CA",33.8743390993837,-117.224179856507,National Historic Trail,"['Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Guided Tours,Hiking,Horse Trekking,Horseback Riding,Living History,Reenactments,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Kalaupapa National Historical Park,kala,HI,21.1731108,-156.9511609,National Historical Park,"['Guided Tours', 'Living History', 'Museum Exhibits']",Guided Tours,Living History,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Kaloko-Honokōhau National Historical Park,kaho,HI,19.68083237,-156.0306932,National Historical Park,"['Arts and Culture', 'Biking', 'Fishing', 'Saltwater Fishing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Biking,Fishing,Saltwater Fishing,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Katahdin Woods and Waters National Monument,kaww,ME,45.9567565917969,-68.712287902832,National Monument,"['Biking', 'Fishing', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Skiing', 'Cross-Country Skiing', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching']",Biking,Fishing,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Skiing,Cross-Country Skiing,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Katmai National Park & Preserve,katm,AK,58.62235668,-155.0126574,National Park & Preserve,"['Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Flying', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoe or Kayak Camping', 'Junior Ranger Program', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Fly Fishing,Food,Dining,Picnicking,Flying,Guided Tours,Hiking,Backcountry Hiking,Hunting and Gathering,Hunting,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Kenai Fjords National Park,kefj,AK,59.81804414,-150.106502,National Park,"['Astronomy', 'Stargazing', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Climbing', 'Mountain Climbing', 'Ice Climbing', 'Dog Sledding', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Saltwater Fishing', 'Food', 'Flying', 'Helicopter Flying', 'Fixed Wing Flying', 'Guided Tours', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Climbing,Mountain Climbing,Ice Climbing,Dog Sledding,Fishing,Freshwater Fishing,Fly Fishing,Saltwater Fishing,Food,Flying,Helicopter Flying,Fixed Wing Flying,Guided Tours,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,
245,Kenilworth Park & Aquatic Gardens,keaq,DC,38.9128,-76.9434,,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Kennesaw Mountain National Battlefield Park,kemo,GA,33.95370717,-84.59214186,National Battlefield Park,"['Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits']",Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Keweenaw National Historical Park,kewe,MI,47.1792308,-88.52275344,National Historical Park,"['Biking', 'Mountain Biking', 'Road Biking', 'Compass and GPS', 'Geocaching', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",Biking,Mountain Biking,Road Biking,Compass and GPS,Geocaching,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Kings Mountain National Military Park,kimo,SC,35.13900723,-81.38978712,National Military Park,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Junior Ranger Program', 'Park Film']",Guided Tours,Self-Guided Tours - Walking,Living History,Junior Ranger Program,Park Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Klondike Gold Rush - Seattle Unit National Historical Park,klse,WA,47.5993663,-122.3319664,National Historical Park,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Park Film', 'Museum Exhibits']",Guided Tours,Self-Guided Tours - Walking,Living History,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Klondike Gold Rush National Historical Park,klgo,AK,59.61042373,-135.2618535,National Historical Park,"['Arts and Culture', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Mountain Climbing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Playground', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Mountain Climbing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Playground,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Knife River Indian Villages National Historic Site,knri,ND,47.3540219,-101.3860533,National Historic Site,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Arts and Crafts', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Arts and Crafts,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Kobuk Valley National Park,kova,AK,67.35631336,-159.2002293,National Park,"['Boating', 'Camping', 'Backcountry Camping', 'Fishing', 'Freshwater Fishing', 'Flying', 'Fixed Wing Flying', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Backcountry Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Junior Ranger Program', 'Wildlife Watching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Boating,Camping,Backcountry Camping,Fishing,Freshwater Fishing,Flying,Fixed Wing Flying,Hands-On,Arts and Crafts,Hiking,Backcountry Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Junior Ranger Program,Wildlife Watching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Korean War Veterans Memorial,kowa,DC,38.88784226,-77.04773857,,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,LBJ Memorial Grove on the Potomac,lyba,DC,38.87858036,-77.05145832,,"['Biking', 'Road Biking', 'Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoeing', 'Kayaking', 'Wildlife Watching', 'Birdwatching']",Biking,Road Biking,Hiking,Off-Trail Permitted Hiking,Paddling,Canoeing,Kayaking,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Lake Clark National Park & Preserve,lacl,AK,60.57405857,-153.55535,National Park & Preserve,"['Astronomy', 'Stargazing', 'Biking', 'Boating', 'Motorized Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Climbing', 'Mountain Climbing', 'Compass and GPS', 'Orienteering', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Flying', 'Fixed Wing Flying', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Biking,Boating,Motorized Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Climbing,Mountain Climbing,Compass and GPS,Orienteering,Fishing,Freshwater Fishing,Fly Fishing,Flying,Fixed Wing Flying,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,
256,Lake Mead National Recreation Area,lake,"AZ,NV",35.96622528,-114.3469067,National Recreation Area,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Jet Skiing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Dining', 'Picnicking', 'Flying', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Freshwater Swimming', 'Water Skiing', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Sailing,Jet Skiing,Boat Tour,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Flying,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,
257,Lake Meredith National Recreation Area,lamr,TX,35.61926203,-101.6820066,National Recreation Area,"['Auto and ATV', 'ATV Off-Roading', 'Biking', 'Mountain Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,ATV Off-Roading,Biking,Mountain Biking,Boating,Camping,Fishing,Food,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Lake Roosevelt National Recreation Area,laro,WA,48.17148735,-118.3513713,National Recreation Area,"['Boating', 'Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoe or Kayak Camping', 'Junior Ranger Program', 'Swimming', 'Park Film', 'Museum Exhibits']",Boating,Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Hiking,Hunting and Gathering,Hunting,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Swimming,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Lassen Volcanic National Park,lavo,CA,40.49354575,-121.4075993,National Park,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,
260,Lava Beds National Monument,labe,CA,41.75915823,-121.5172189,National Monument,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Caving', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Caving,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Lewis & Clark National Historic Trail,lecl,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV",41.2646141052246,-95.9245147705078,National Historic Trail,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Boating', 'Fishing', 'Guided Tours', 'Hiking', 'Living History', 'Junior Ranger Program', 'Snowshoeing', 'Wildlife Watching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Biking,Boating,Fishing,Guided Tours,Hiking,Living History,Junior Ranger Program,Snowshoeing,Wildlife Watching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Lewis and Clark National Historical Park,lewi,"OR,WA",46.21178735,-123.9638583,National Historical Park,"['Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Gathering and Foraging', 'Living History', 'Historic Weapons Demonstration', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Hunting and Gathering,Gathering and Foraging,Living History,Historic Weapons Demonstration,Paddling,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Lincoln Boyhood National Memorial,libo,IN,38.11817004,-86.99656861,National Memorial,"['Arts and Culture', 'Cultural Demonstrations', 'Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Living History,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Lincoln Home National Historic Site,liho,IL,39.79715642,-89.64513397,National Historic Site,"['Arts and Culture', 'Cultural Demonstrations', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Arts and Crafts', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Cultural Demonstrations,Guided Tours,Self-Guided Tours - Walking,Hands-On,Arts and Crafts,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Lincoln Memorial,linc,DC,38.88927229,-77.05017778,,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
