,Rank,Park_Name,Death Total,Park Visits (2007-2018),Deaths per 10 Million Visits,Unnamed: 0,Park_Code,state,Lat,Long,designation,activities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
25,26,Grand Teton National Park,54,"34,325,043",15.73,191,grte,WY,43.81853565,-110.7054666,National Park,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Mountain Climbing', 'Ice Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowmobiling', 'Snowshoeing', 'Water Skiing', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Rock Climbing,Mountain Climbing,Ice Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Auto,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowmobiling,Snowshoeing,Water Skiing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,
26,28,Padre Island National Seashore,11,"7,243,575",15.19,334,pais,TX,27.05381186,-97.35901135,National Seashore,"['Arts and Culture', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Fishing', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Auto and ATV,Biking,Boating,Camping,Fishing,Paddling,Canoeing,Kayaking,Junior Ranger Program,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,29,Natchez Trace Parkway,104,"72,030,899",14.44,304,natr,"AL,MS,TN",33.78002293,-89.03092439,Parkway,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Road Biking', 'Camping', 'Car or Front Country Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Astronomy,Biking,Road Biking,Camping,Car or Front Country Camping,RV Camping,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,30,Glacier National Park,37,"28,250,811",13.1,181,glac,MT,48.68414678,-113.80093059999999,National Park,"['Arts and Culture', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'Climbing', 'Mountain Climbing', 'Fishing', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Paddling', 'Canoe or Kayak Camping', 'Stand Up Paddleboarding', 'Whitewater Rafting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Live Music,Theater,Auto and ATV,Scenic Driving,Astronomy,Biking,Road Biking,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Climbing,Mountain Climbing,Fishing,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Paddling,Canoe or Kayak Camping,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,
29,31,Lake Roosevelt National Recreation Area,21,"16,240,491",12.93,258,laro,WA,48.17148735,-118.3513713,National Recreation Area,"['Boating', 'Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoe or Kayak Camping', 'Junior Ranger Program', 'Swimming', 'Park Film', 'Museum Exhibits']",Boating,Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Hiking,Hunting and Gathering,Hunting,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Swimming,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,32,Yellowstone National Park,51,"43,283,275",11.78,459,yell,"ID,MT,WY",44.59824417,-110.54716950000001,National Park,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Arts and Crafts', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Auto and ATV,Scenic Driving,Astronomy,Biking,Mountain Biking,Road Biking,Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Arts and Crafts,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,
31,33,Point Reyes National Seashore,32,"28,103,884",11.39,350,pore,CA,38.05511241,-122.8797804,National Seashore,"['Biking', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Biking,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Food,Picnicking,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Paddling,Kayaking,Junior Ranger Program,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,34,Lake Meredith National Recreation Area,12,"10,598,868",11.32,257,lamr,TX,35.61926203,-101.6820066,National Recreation Area,"['Auto and ATV', 'ATV Off-Roading', 'Biking', 'Mountain Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,ATV Off-Roading,Biking,Mountain Biking,Boating,Camping,Fishing,Food,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,35,Everglades National Park,13,"11,571,591",11.23,131,ever,FL,25.37294225,-80.88200301,National Park,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'RV Camping', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Paddling', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Biking,Road Biking,Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,RV Camping,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,
34,36,Rocky Mountain National Park,47,"41,964,578",11.2,369,romo,CO,40.3556924,-105.69728789999999,National Park,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Fishing', 'Food', 'Picnicking', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Tubing', 'Snow Tubing', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Auto and ATV,Scenic Driving,Astronomy,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Fishing,Food,Picnicking,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Tubing,Snow Tubing,Skiing,Cross-Country Skiing,Downhill Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,
35,37,Zion National Park,43,"39,313,822",10.94,464,zion,UT,37.29839254,-113.0265138,National Park,"['Arts and Culture', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Canyoneering', 'Climbing', 'Rock Climbing', 'Guided Tours', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Canyoneering,Climbing,Rock Climbing,Guided Tours,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
